pdb_id,status,size_kb,reason
12CA,downloaded,202,
13RZ,failed,0,not found in PDB
13SA,failed,0,not found in PDB
13SB,downloaded,460,
13SC,downloaded,475,
13SD,failed,0,not found in PDB
13SE,downloaded,459,
13SF,downloaded,440,
13SG,failed,0,not found in PDB
13SH,failed,0,not found in PDB
13SI,downloaded,462,
13SJ,downloaded,458,
13SK,downloaded,457,
13SL,downloaded,465,
13SM,downloaded,459,
13SN,downloaded,452,
13SO,downloaded,450,
13SP,failed,0,not found in PDB
13SQ,downloaded,468,
13SR,failed,0,not found in PDB
13SS,downloaded,451,
13ST,failed,0,not found in PDB
13SU,downloaded,457,
13SV,downloaded,451,
13SW,failed,0,not found in PDB
13SX,failed,0,not found in PDB
13SY,downloaded,453,
13SZ,failed,0,not found in PDB
13TA,downloaded,453,
13TB,downloaded,443,
1A42,downloaded,205,
1A6Y,downloaded,228,
1A85,downloaded,162,
1A86,downloaded,138,
1AM6,downloaded,241,
1AU1,downloaded,353,
1AUI,downloaded,451,
1AVN,downloaded,216,
1AYE,downloaded,300,
1AZM,downloaded,211,
1AZV,cached,229,
1B3D,downloaded,283,
1B55,downloaded,291,
1B8Y,downloaded,163,
1BC8,downloaded,137,
1BCD,downloaded,218,
1BEN,downloaded,202,
1BH5,downloaded,567,
1BIC,cached,217,
1BIW,downloaded,287,
1BKC,downloaded,861,
1BN1,downloaded,244,
1BN3,downloaded,242,
1BN4,downloaded,244,
1BNN,downloaded,242,
1BNQ,downloaded,205,
1BNT,downloaded,205,
1BNU,downloaded,205,
1BNV,downloaded,240,
1BNW,downloaded,241,
1BQO,downloaded,280,
1BTK,downloaded,273,
1BV3,downloaded,211,
1BWN,downloaded,304,
1BY4,downloaded,375,
1BZM,downloaded,217,
1BZS,downloaded,162,
1C1U,downloaded,507,
1C1V,downloaded,504,
1C1W,downloaded,502,
1C3I,downloaded,290,
1CA2,cached,213,
1CA3,downloaded,204,
1CAI,downloaded,213,
1CAJ,downloaded,213,
1CAK,downloaded,216,
1CAL,downloaded,213,
1CAM,downloaded,213,
1CAO,downloaded,217,
1CAQ,downloaded,163,
1CAY,downloaded,215,
1CAZ,downloaded,214,
1CCS,downloaded,203,
1CCT,downloaded,201,
1CCU,downloaded,204,
1CGE,downloaded,187,
1CGF,downloaded,344,
1CGL,cached,341,
1CIL,downloaded,209,
1CIM,downloaded,210,
1CIN,downloaded,210,
1CIZ,downloaded,169,
1CNC,downloaded,201,
1CNG,downloaded,204,
1CNH,downloaded,203,
1CNI,downloaded,209,
1CNJ,downloaded,207,
1CNK,downloaded,206,
1CNW,downloaded,208,
1CNX,downloaded,209,
1CNY,downloaded,209,
1CQR,downloaded,283,
1CRA,downloaded,220,
1CVA,downloaded,203,
1CVB,downloaded,202,
1CVC,downloaded,204,
1CVD,downloaded,199,
1CVE,downloaded,202,
1CVH,downloaded,203,
1CY5,downloaded,171,
1CZM,downloaded,226,
1D0G,downloaded,579,
1D1S,downloaded,1057,
1D1T,downloaded,1056,
1D7X,downloaded,296,
1D8D,downloaded,570,
